B01003_001E,B02001_002E,B02001_003E,B03003_003E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B25003_001E,B25003_002E,B25003_003E,B25002_001E,B25002_003E,B19013_001E,B25064_001E,B05002_013E,B08301_001E,B08301_019E,NAME,state,county,tract,block group,ca_id,ca_name,year,geoid_bg,share_white,share_black,share_hispanic,ba_plus_total,share_ba_plus,renter_share,homeownership_rate,vacancy_rate,med_income,med_income_log,med_rent,med_rent_log,foreign_born_share,walk_to_work_share
1415,,1157.0,258.0,873,133.0,,,,499,199,300.0,546,47.0,44540.0,1179.0,,591,,Block Group 5; Census Tract 2507; Cook County; Illinois,17,031,250700,5,25,Austin,2022,170312507005,,0.8176678445229681,0.1823321554770318,133.0,0.15234822451317298,0.6012024048096193,0.39879759519038077,0.08608058608058608,44540.0,10.704165392288106,1179.0,7.07326971745971,,
1138,61.0,1037.0,52.0,849,52.0,35.0,,,376,265,111.0,417,41.0,63958.0,1116.0,,589,63.0,Block Group 1; Census Tract 2508; Cook County; Illinois,17,031,250800,1,25,Austin,2022,170312508001,0.05360281195079086,0.9112478031634447,0.04569420035149385,87.0,0.10247349823321555,0.29521276595744683,0.7047872340425532,0.09832134292565947,63958.0,11.065997532053935,1116.0,7.018401799069201,,0.10696095076400679
1555,113.0,1249.0,306.0,900,15.0,1.0,19.0,,411,247,164.0,464,53.0,52917.0,1190.0,,610,17.0,Block Group 2; Census Tract 2508; Cook County; Illinois,17,031,250800,2,25,Austin,2022,170312508002,0.07266881028938907,0.8032154340836013,0.1967845659163987,35.0,0.03888888888888889,0.39902676399026765,0.6009732360097324,0.11422413793103449,52917.0,10.876498824619787,1190.0,7.0825485693553,,0.027868852459016394
1078,405.0,259.0,749.0,713,17.0,51.0,1.0,9.0,415,145,270.0,550,135.0,43523.0,967.0,,447,,Block Group 1; Census Tract 5301; Cook County; Illinois,17,031,530100,1,53,West Pullman,2022,170315301001,0.37569573283859,0.24025974025974026,0.6948051948051948,78.0,0.1093969144460028,0.6506024096385542,0.3493975903614458,0.24545454545454545,43523.0,10.681067789070903,967.0,6.875232087276577,,
837,79.0,560.0,201.0,553,89.0,29.0,20.0,,406,120,286.0,477,71.0,28538.0,945.0,,305,,Block Group 2; Census Tract 5301; Cook County; Illinois,17,031,530100,2,53,West Pullman,2022,170315301002,0.09438470728793309,0.6690561529271206,0.24014336917562723,138.0,0.24954792043399637,0.7044334975369458,0.2955665024630542,0.1488469601677149,28538.0,10.259026851874566,945.0,6.852242569051878,,
523,,276.0,247.0,453,39.0,,,,199,134,65.0,270,71.0,,807.0,,47,,Block Group 1; Census Tract 5302; Cook County; Illinois,17,031,530200,1,53,West Pullman,2022,170315302001,,0.5277246653919694,0.4722753346080306,39.0,0.08609271523178808,0.32663316582914576,0.6733668341708543,0.26296296296296295,,,807.0,6.694562058521095,,
323,,323.0,,323,,,59.0,,110,32,78.0,195,85.0,77821.0,2000.0,,120,,Block Group 2; Census Tract 5302; Cook County; Illinois,17,031,530200,2,53,West Pullman,2022,170315302002,,1.0,,59.0,0.1826625386996904,0.7090909090909091,0.2909090909090909,0.4358974358974359,77821.0,11.262179446542401,2000.0,7.601402334583733,,
107,13.0,94.0,,88,6.0,,,,55,46,9.0,152,97.0,79519.0,,,65,,Block Group 3; Census Tract 5302; Cook County; Illinois,17,031,530200,3,53,West Pullman,2022,170315302003,0.12149532710280374,0.8785046728971962,,6.0,0.06818181818181818,0.16363636363636364,0.8363636363636363,0.6381578947368421,79519.0,11.283763841330456,,,,
1566,144.0,1296.0,89.0,1180,234.0,74.0,,,574,376,198.0,692,118.0,,991.0,,390,31.0,Block Group 4; Census Tract 5302; Cook County; Illinois,17,031,530200,4,53,West Pullman,2022,170315302004,0.09195402298850575,0.8275862068965517,0.05683269476372925,308.0,0.26101694915254237,0.34494773519163763,0.6550522648083623,0.17052023121387283,,,991.0,6.899723107284872,,0.07948717948717948
1839,,1588.0,251.0,994,80.0,,,,516,167,349.0,692,176.0,35179.0,1440.0,,578,,Block Group 5; Census Tract 5302; Cook County; Illinois,17,031,530200,5,53,West Pullman,2022,170315302005,,0.8635127786840674,0.13648722131593258,80.0,0.08048289738430583,0.6763565891472868,0.3236434108527132,0.2543352601156069,35179.0,10.46823301829155,1440.0,7.273092595999522,,
